,ip,tcm_id,response,xd
17080,18163320,tcm:526-116442,0,08-28
39219,10114720,tcm:526-22867,0,10-30
51310,80399561,tcm:526-52560,0,02-27
2149,29161402,tcm:526-688510,0,05-30
36109,83651828,tcm:526-12167,1,09-26
2272,33801571,tcm:526-239640,0,07-24
72920,47778664,tcm:526-695181,1,08-28
19612,14661286,tcm:526-682576,0,03-27
13897,55919570,tcm:526-208086,0,03-27
8950,85279211,tcm:526-249921,0,02-27
72850,52974269,tcm:526-10787,1,02-27
1197,66966434,tcm:526-682576,0,03-27
9036,62005676,tcm:526-40469,1,07-24
894,75461182,tcm:526-258965,0,09-26
3920,42072357,tcm:526-209028,0,01-30
68661,92892173,tcm:526-237984,1,06-26
27574,42937108,tcm:526-12174,0,09-26
6487,18599754,tcm:526-12174,0,09-26
73117,93058502,tcm:526-782343,0,01-30
64689,70830611,tcm:526-12174,0,04-25
37978,9568870,tcm:526-551763,0,02-27
79553,96738148,tcm:526-682379,0,06-26
16299,95398581,tcm:526-16645,0,07-24
73484,92024352,tcm:526-116442,0,09-26
65379,28658409,tcm:526-654768,0,03-27
52978,98915158,tcm:526-259315,0,10-30
68368,64083953,tcm:526-388698,0,04-25
43877,19220501,tcm:526-258965,0,09-26
11621,21803519,tcm:526-388698,0,04-25
698,56395953,tcm:526-784445,0,01-30
67836,25464914,tcm:526-681575,0,03-27
35529,30354784,tcm:526-388698,0,04-25
53264,50514936,tcm:526-695181,0,07-24
51711,70642143,tcm:526-707527,0,09-26
35551,30354784,tcm:526-16645,1,06-26
5711,95315927,tcm:526-16645,0,06-26
28911,88260415,tcm:526-16645,0,05-30
12136,66099679,tcm:526-712788,1,06-26
61757,39035769,tcm:526-208086,0,04-25
69453,44999342,tcm:526-12167,0,09-26
44891,53620647,tcm:526-10787,0,02-27
25722,96388298,tcm:526-276414,0,02-27
61148,30797820,tcm:526-46242,0,05-30
53230,50514936,tcm:526-12167,0,10-30
31513,61947775,tcm:526-695181,0,08-28
60640,58252326,tcm:526-164352,0,05-30
15739,69440279,tcm:526-116442,0,09-26
44001,8646481,tcm:526-244935,0,07-24
50679,96395461,tcm:526-418532,0,02-27
64643,70830611,tcm:526-80807,0,03-27
30816,68235149,tcm:526-93195,0,05-30
48486,28358590,tcm:526-346380,0,01-30
30737,91252853,tcm:526-116442,1,08-28
70229,36595107,tcm:526-695181,0,08-28
69415,44999342,tcm:526-695181,0,08-28
29367,5802402,tcm:526-208086,0,08-28
68386,64083953,tcm:526-259315,0,10-30
65148,30263690,tcm:526-695181,0,08-28
64696,98152512,tcm:526-418532,0,03-27
68437,23244109,tcm:526-12174,0,09-26
5269,36912302,tcm:526-418532,0,02-27
8789,31100103,tcm:526-388698,0,04-25
25572,10309819,tcm:526-239640,0,07-24
12826,17596063,tcm:526-70899,0,04-25
42466,3857212,tcm:526-244935,0,07-24
78773,40575247,tcm:526-12167,0,10-30
7069,63423394,tcm:526-418532,0,02-27
57243,96237549,tcm:526-239640,0,08-28
38668,93928051,tcm:526-655038,0,01-30
71455,21018099,tcm:526-191289,0,06-26
72914,47778664,tcm:526-682576,0,03-27
74817,16506953,tcm:526-681575,0,03-27
37439,40653261,tcm:526-22867,0,10-30
3875,24600825,tcm:526-12174,1,06-26
76465,65537513,tcm:526-13782,0,07-24
76813,8715712,tcm:526-653510,0,07-24
14394,16315185,tcm:526-12174,0,05-30
46773,91030260,tcm:526-208086,0,07-24
5955,17951177,tcm:526-688510,0,05-30
8753,60159401,tcm:526-93195,0,04-25
74298,26739168,tcm:526-209028,0,01-30
25746,96388298,tcm:526-259315,1,10-30
13165,32975618,tcm:526-681575,0,03-27
23348,88013219,tcm:526-674187,0,03-27
15113,27719425,tcm:526-670542,0,03-27
29818,8545330,tcm:526-22867,1,10-30
9456,30848221,tcm:526-695181,0,08-28
72455,52316037,tcm:526-670542,0,03-27
47867,44368350,tcm:526-187302,0,02-27
1793,36756635,tcm:526-10787,0,02-27
66250,77497898,tcm:526-149043,0,07-24
56586,96317245,tcm:526-239640,1,07-24
18512,13782094,tcm:526-244935,1,06-26
35011,96007065,tcm:526-259315,0,10-30
26099,33557853,tcm:526-782343,0,01-30
28542,22994233,tcm:526-655038,0,01-30
5161,58959607,tcm:526-22867,1,09-26
66415,44064854,tcm:526-208086,0,03-27
70700,26849473,tcm:526-52560,0,02-27
50075,60301491,tcm:526-116442,0,08-28
38035,5000932,tcm:526-249037,0,04-25
62637,18188057,tcm:526-12174,0,05-30
3928,42072357,tcm:526-208086,0,03-27
8651,15448959,tcm:526-418532,0,03-27
36227,24516021,tcm:526-149043,0,05-30
46445,96264869,tcm:526-149043,0,07-24
14352,16315185,tcm:526-13782,0,08-28
46464,96264869,tcm:526-385364,1,01-30
34545,68366258,tcm:526-12174,0,06-26
21619,47363125,tcm:526-248966,1,10-30
28313,54188654,tcm:526-40469,0,07-24
41665,27848118,tcm:526-244935,0,07-24
62311,75419784,tcm:526-231792,0,10-30
62703,21890591,tcm:526-12174,0,04-25
66237,3018526,tcm:526-10838,0,09-26
19973,69530129,tcm:526-249037,1,04-25
12606,31546909,tcm:526-208086,1,05-30
28642,32460052,tcm:526-22867,0,09-26
7365,87033831,tcm:526-12167,0,10-30
73894,35364364,tcm:526-12180,1,03-27
39544,99722419,tcm:526-93195,1,04-25
14013,63892357,tcm:526-12174,0,07-24
15510,41490171,tcm:526-670542,0,03-27
78991,63711636,tcm:526-70899,1,04-25
3940,42072357,tcm:526-208086,0,06-26
76095,21678499,tcm:526-228258,0,02-27
52817,57779338,tcm:526-782343,0,04-25
22290,39755942,tcm:526-164352,0,05-30
18068,59660030,tcm:526-22867,0,09-26
37189,21642285,tcm:526-116442,0,08-28
46143,6137246,tcm:526-492865,0,02-27
70773,26849473,tcm:526-670542,0,03-27
954,75461182,tcm:526-679101,0,04-25
42385,75667100,tcm:526-679101,0,04-25
1076,74847840,tcm:526-385364,1,01-30
3821,46970339,tcm:526-653510,0,07-24
71484,21018099,tcm:526-22867,0,08-28
8756,60159401,tcm:526-388698,1,04-25
20086,15803926,tcm:526-12174,0,08-28
8069,52923688,tcm:526-208086,0,04-25
26766,62159474,tcm:526-208086,0,08-28
55836,75903528,tcm:526-653510,0,06-26
46460,96264869,tcm:526-208086,0,06-26
38887,52475796,tcm:526-679101,0,04-25
4854,21809257,tcm:526-551763,1,02-27
